draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
3726,993.4644605055723,0.9096445950285995,0.003564376648405653,2.0,3.0,0.0,-992.4772516525474,-2.4242674930912216,0.009930200065320412,0.08111697673190398
3727,992.047368163698,0.8786684680104179,0.004799396755511533,9.0,535.0,0.0,-988.7832908929618,-2.456476802490521,0.010058076770395765,0.08732262309748326
3728,993.0719539466919,0.9650452253679118,0.004116071977974781,8.0,271.0,0.0,-992.8599800033953,-2.324846493348493,0.009630713831621358,0.08311367094508969
3729,993.132383118502,0.9645083647190541,0.0034207472301264106,8.0,315.0,0.0,-991.2741486631231,-2.5209647439960343,0.010234720284599893,0.08570792553067665
3730,993.9457047456067,0.8578248478713216,0.003564376648405653,7.0,131.0,0.0,-991.9028862187165,-2.4400343986853184,0.009983668580732775,0.08191087022029779
3731,992.6532684976172,0.9096145317722343,0.004799396755511533,10.0,1023.0,0.0,-990.7972188136864,-2.358618583205717,0.009744542772356686,0.08034997371846261
3732,992.0962915854615,0.8784979686982358,0.004116071977974781,10.0,1023.0,0.0,-991.4075396606951,-2.360868258365353,0.009724862056781044,0.08576018002596246
3733,993.2743563501525,0.9979007536386951,0.0034207472301264106,10.0,1023.0,0.0,-992.775000335827,-2.493846621624916,0.010168934829795907,0.08604056114235212
3734,993.1214966771008,0.9324456754521975,0.003564376648405653,9.0,539.0,0.0,-992.3331291935871,-2.4624038156294334,0.01004683234374273,0.0850712705982468
3735,992.8649678171503,0.8609405753541113,0.004799396755511533,10.0,1023.0,0.0,-991.0514223468338,-2.5281665774491966,0.010266183045551316,0.08709905896800853
3736,992.1505978036234,0.985922826187981,0.004116071977974781,6.0,127.0,0.0,-991.4225374942117,-2.3808256723788834,0.009822204977800278,0.08548114710329612
3737,992.4250783532777,0.8899880199987833,0.0034207472301264106,8.0,347.0,0.0,-991.5664178847486,-2.543070022000648,0.010336114047672889,0.08468248424679391
3738,993.3839301095438,0.9999839071267824,0.003564376648405653,7.0,139.0,0.0,-993.0126595597718,-2.4733559638737224,0.010108960326467086,0.08477047643683043
3739,990.8893311288716,0.9886990605589221,0.004799396755511533,10.0,1023.0,0.0,-989.731516405066,-2.732529274258795,0.010909790303769927,0.0807699443152422
3740,993.5629983926602,0.9930999818727804,0.004116071977974781,9.0,1023.0,0.0,-991.7042190641046,-2.374652351835666,0.009778720667669017,0.08204624172567665
3741,994.1943701594852,0.9993060648494675,0.0034207472301264106,9.0,575.0,0.0,-992.3413079237089,-2.4711366433501194,0.010089585222467761,0.08173118491839244
3742,993.3286850227568,0.9848802765985044,0.003564376648405653,8.0,467.0,0.0,-992.2576996450894,-2.50857440080754,0.01019212927107071,0.0839382933233038
3743,990.726850745129,0.8975158262240903,0.004799396755511533,6.0,75.0,0.0,-990.2439927829249,-2.724907945206597,0.010878971896946112,0.0808948012010842
3744,989.8857961999686,0.9003057355536812,0.004116071977974781,9.0,1023.0,0.0,-988.9032292629615,-2.2523106382537676,0.009385144962450444,0.08763507333520326
3745,992.7161771293729,0.8583264609693572,0.0034207472301264106,8.0,351.0,0.0,-990.2908991017947,-2.4066863076943608,0.00987095675959077,0.08031844927132832
3746,992.6349601563111,0.9979633108498538,0.003564376648405653,9.0,795.0,0.0,-990.278951875207,-2.47402320431453,0.010113174356967092,0.07961990099744032
3747,993.2685173020677,0.8806539582149623,0.004799396755511533,9.0,511.0,0.0,-988.2146792309494,-2.6042877577887213,0.010512725665163869,0.08480305994760823
3748,992.6348727794496,0.9994877248349537,0.004116071977974781,8.0,511.0,0.0,-989.3654335278902,-2.3208924323382325,0.009609511587764323,0.085058919014407
3749,993.2736427284468,0.9962224935119893,0.0034207472301264106,10.0,1023.0,0.0,-992.1355403626517,-2.5891188817380786,0.010454527755234155,0.08490361316467625
3750,993.3655175062802,0.9716049548909108,0.003564376648405653,9.0,775.0,0.0,-991.0566513330616,-2.4244229266165958,0.009927653026165262,0.08356354461807713
3751,994.2529702819911,0.9995465538873928,0.004799396755511533,8.0,367.0,0.0,-992.6996523134767,-2.4965653900748945,0.010169263814858893,0.08232887169085658
3752,993.4663110863859,0.999080223547659,0.004116071977974781,10.0,1023.0,0.0,-991.928479532123,-2.3999120095822732,0.009858611323516975,0.0805667185401145
3753,992.8533953925167,0.9993020137673072,0.0034207472301264106,10.0,1023.0,0.0,-992.2490700563735,-2.490203200521109,0.010142022263233245,0.08701218081067183
